Id,Probability
1,0.43263972
2,0.4072717
3,0.14546853
4,0.5019991
5,0.6224048
6,0.33645675
7,0.3717814
8,0.30562893
9,0.036836013
10,0.8830503
11,0.10731834
12,0.18051472
13,0.09574105
14,0.4590914
15,0.481356
16,0.13019551
17,0.27029717
18,0.1847779
19,0.82580984
20,0.623318
21,0.07752705
22,0.113676794
23,0.05452514
24,0.9403708
25,0.5164883
26,0.21571341
27,0.6420949
28,0.097311415
29,0.47005153
30,0.27399635
31,0.48012754
32,0.06407114
33,0.17547756
34,0.46486664
35,0.9079879
36,0.42000672
37,0.31984746
38,0.20259419
39,0.10010925
40,0.36228934
41,0.88399744
42,0.8778066
43,0.6416349
44,0.08772218
45,0.4701578
46,0.046379894
47,0.045834325
48,0.16576008
49,0.17512676
50,0.26775762
51,0.1744483
52,0.29878116
53,0.08446947
54,0.31069165
55,0.15637396
56,0.49606934
57,0.044199668
58,0.67427695
59,0.6274937
60,0.5855939
61,0.30861256
62,0.073264055
63,0.21365452
64,0.10962551
65,0.13471444
66,0.24404626
67,0.11798411
68,0.66742563
69,0.073071115
70,0.98189145
71,0.1851868
72,0.59502673
73,0.08320633
74,0.7450585
75,0.15070815
76,0.34037924
77,0.5669383
78,0.46117383
79,0.3614784
80,0.17551444
81,0.17049605
82,0.1260988
83,0.42057627
84,0.10123007
85,0.1800356
86,0.14269735
87,0.41228873
88,0.09925852
89,0.37511626
90,0.22174683
91,0.51600975
92,0.12571019
93,0.11386943
94,0.1466289
95,0.05219414
96,0.60042536
97,0.34753034
98,0.5809135
99,0.14213493
100,0.16755733
101,0.42080674
102,0.50865364
103,0.06274317
104,0.4868585
105,0.48316726
106,0.21585256
107,0.9164179
108,0.21550347
109,0.06313064
110,0.19011961
111,0.24087684
112,0.34255183
113,0.2323416
114,0.96262246
115,0.6011888
116,0.13283725
117,0.03854257
118,0.47235122
119,0.13612808
120,0.09072196
121,0.13745964
122,0.5529455
123,0.11618124
124,0.9530272
125,0.090794615
126,0.19395442
127,0.07938127
128,0.1486738
129,0.059318285
130,0.4606159
131,0.33101854
132,0.54304713
133,0.06793613
134,0.4720587
135,0.5425195
136,0.10629978
137,0.77903444
138,0.3556566
139,0.07240564
140,0.16589317
141,0.04950707
142,0.17213337
143,0.07260734
144,0.19178665
145,0.90942746
146,0.10964392
147,0.07091822
148,0.6223274
149,0.083530106
150,0.39373463
151,0.055758048
152,0.10790994
153,0.08263831
154,0.101189606
155,0.16013898
156,0.22515549
157,0.4125739
158,0.06275805
159,0.65203947
160,0.20686203
161,0.058969855
162,0.12765767
163,0.14533895
164,0.43237188
165,0.17421813
166,0.22866897
167,0.94688183
168,0.20614818
169,0.8730552
170,0.1276928
171,0.056450844
172,0.23027179
173,0.1525643
174,0.4181547
175,0.16161346
176,0.8791839
177,0.19161963
178,0.5699893
179,0.1439569
180,0.109889805
181,0.42929703
182,0.09350821
183,0.22190282
184,0.15329823
185,0.73180634
186,0.1024544
187,0.095063716
188,0.39833868
189,0.41019505
190,0.22237657
191,0.21928442
192,0.36596856
193,0.13681829
194,0.4604261
195,0.15636927
196,0.26521975
197,0.09446265
198,0.10652969
199,0.07848568
200,0.077626824
201,0.59593225
202,0.26904485
203,0.91286254
204,0.3410411
205,0.19272517
206,0.10732644
207,0.1472307
208,0.0676497
209,0.60215294
210,0.06875162
211,0.5781012
212,0.24026455
213,0.18660007
214,0.06143942
215,0.17363018
216,0.4527371
217,0.10047342
218,0.54819286
219,0.1611434
220,0.047546018
221,0.15635818
222,0.13483621
223,0.13083807
224,0.09355235
225,0.121547505
226,0.47802758
227,0.078212716
228,0.51949364
229,0.53675544
230,0.94696295
231,0.7399698
232,0.13166085
233,0.12292044
234,0.12106621
235,0.055541307
236,0.6992437
237,0.56747246
238,0.052086864
239,0.20994072
240,0.14514047
241,0.3520646
242,0.11660988
243,0.07148961
244,0.17676573
245,0.5163463
246,0.14303899
247,0.32797804
248,0.06268359
249,0.1756091
250,0.8728573
251,0.19226284
252,0.863517
253,0.048908316
254,0.62340826
255,0.058582544
256,0.072664686
257,0.29799122
258,0.6893974
259,0.27968326
260,0.7449
261,0.11925565
262,0.1561294
263,0.0696343
264,0.514652
265,0.49258476
266,0.13929896
267,0.51633304
268,0.39197326
269,0.84457904
270,0.0725968
271,0.26308897
272,0.4118015
273,0.07461587
274,0.123812996
275,0.09305352
276,0.17941493
277,0.16899669
278,0.06549411
279,0.5346572
280,0.27674174
281,0.9688183
282,0.3696125
283,0.47318092
284,0.1117351
285,0.13274157
286,0.11248551
287,0.14419249
288,0.30576545
289,0.43357858
290,0.53596
291,0.8802413
292,0.07774794
293,0.31320798
294,0.10950521
295,0.07690219
296,0.2408871
297,0.13249001
298,0.2923519
299,0.053010907
300,0.09635458
301,0.5861852
302,0.09157203
303,0.10073497
304,0.10324631
305,0.89634734
306,0.29744366
307,0.050471433
308,0.86223817
309,0.82714003
310,0.09971349
311,0.92330414
312,0.17539734
313,0.79277617
314,0.32406485
315,0.44881365
316,0.5402202
317,0.8730674
318,0.07463471
319,0.13798785
320,0.5610538
321,0.53732693
322,0.15449834
323,0.09716731
324,0.07814219
325,0.59647346
326,0.102737196
327,0.26986513
328,0.113277666
329,0.19091004
330,0.060525578
331,0.17180085
332,0.12619852
333,0.09721474
334,0.24995063
335,0.2543466
336,0.38032818
337,0.16534735
338,0.7865545
339,0.31885043
340,0.11500548
341,0.046160396
342,0.106738165
343,0.15697505
344,0.40423462
345,0.27939495
346,0.24329339
347,0.9261092
348,0.72534704
349,0.18755913
350,0.06797738
351,0.36784112
352,0.35267937
353,0.04152164
354,0.6913029
355,0.08779354
356,0.062335383
357,0.9819665
358,0.055125054
359,0.23756123
360,0.7908121
361,0.14937542
362,0.12195458
363,0.059368286
364,0.13991852
365,0.6552678
366,0.6089691
367,0.2826827
368,0.5042783
369,0.104858115
370,0.9025875
371,0.10966775
372,0.5965454
373,0.13169172
374,0.11063245
375,0.124914795
376,0.066105954
377,0.23461947
378,0.07288971
379,0.19585595
380,0.18688768
381,0.0754839
382,0.23823476
383,0.34278062
384,0.47372004
385,0.08235619
386,0.059209228
387,0.055662148
388,0.17540234
389,0.25640124
390,0.12205725
391,0.04611161
392,0.07893558
393,0.19098395
394,0.6139257
395,0.09073893
396,0.045865096
397,0.5457596
398,0.7156496
399,0.078524694
400,0.22191784
401,0.08949508
402,0.06271486
403,0.17406934
404,0.038736958
405,0.9829474
406,0.9487281
407,0.22220442
408,0.46223646
409,0.2123378
410,0.14180346
411,0.274058
412,0.3239998
413,0.5965151
414,0.09850965
415,0.07985639
416,0.63058573
417,0.6570433
418,0.40838322
419,0.11485738
420,0.14606515
421,0.15390061
422,0.06883147
423,0.28218064
424,0.095781475
425,0.072883144
426,0.10563774
427,0.27882057
428,0.20445547
429,0.58753026
430,0.12811771
431,0.87124914
432,0.06082425
433,0.13270922
434,0.141695
435,0.21492146
436,0.2563453
437,0.50761
438,0.56245524
439,0.06943622
440,0.38313136
441,0.19748463
442,0.2628724
443,0.3533348
444,0.06856083
445,0.3444068
446,0.9286819
447,0.17557709
448,0.6221549
449,0.46465427
450,0.062175218
451,0.21771654
452,0.05384288
453,0.6585973
454,0.1742203
455,0.52339816
456,0.25504985
457,0.27675253
458,0.100459136
459,0.39882433
460,0.116660416
461,0.18648934
462,0.4691713
463,0.14237627
464,0.4558148
465,0.44395566
466,0.055976752
467,0.108890556
468,0.16326083
469,0.078755006
470,0.7521732
471,0.046850536
472,0.124720484
473,0.8846929
474,0.30339065
475,0.17882572
476,0.111674026
477,0.06301084
478,0.14701015
479,0.2097502
480,0.11262769
481,0.52520454
482,0.09129594
483,0.30296996
484,0.32654727
485,0.03909677
486,0.847675
487,0.2707816
488,0.47007906
489,0.61261314
490,0.29474983
491,0.10228465
492,0.2549357
493,0.8933199
494,0.0967879
495,0.88039464
496,0.16162767
497,0.13620965
498,0.103361145
499,0.5707321
